Широта;Долгота;Описание;Подпись;"Номер метки"
55.7405401;37.7203264;"Школа № 1228 Лефортово";"Школа № 1228 Лефортово";197
55.6824705;37.6688873;"Школа № 1527";"Школа № 1527";198
55.8250521;37.6433297;"Школа ШИК 16";"Школа ШИК 16";199
55.8396451;37.3814188;"Школа № 1538";"Школа № 1538";200
55.8712564;37.4907343;"Школа № 1474";"Школа № 1474";201
55.7423517;37.8590682;"Школа Новокосино";"Школа Новокосино";202
55.7083748;37.3974696;"Школа № 384 имени Д.К. Корнеева";"Школа № 384 имени Д.К. Корнеева";203
55.7937516;37.7931537;"Школа № 1290";"Школа № 1290";204
55.9798567;37.1537427;"Школа № 1194";"Школа № 1194";205
55.6204235;37.7549046;"Школа № 2116 Зябликово";"Школа № 2116 Зябликово";206
55.691953;37.593285;"Школа № 625";"Школа № 625";207
55.8575346;37.4468846;"Школа № 1571";"Школа № 1571";208
55.857869;37.566503;"Школа № 1383";"Школа № 1383";209
55.6700184;37.549065;"Школа № 121";"Школа № 121";210
55.605529;37.517429;"Школа № 2103";"Школа № 2103";211
55.7101127;37.8907825;"Школа № 2031";"Школа № 2031";212
55.7603711;37.5887138;"Школа № 1239";"Школа № 1239";213
55.6636144;37.6038307;"Школа № 1279 Эврика";"Школа № 1279 Эврика";214
55.8074373;37.4125645;"Школа № 1519";"Школа № 1519";215
55.7377101;37.6518916;"Школа № 498";"Школа № 498";216
55.6901758;37.5715952;"Школа № 199";"Школа № 199";217
55.7185452;37.8303768;"Школа № 1512";"Школа № 1512";218
55.7105444;37.8870864;"Школа № 2036";"Школа № 2036";219
55.6289012;37.5224569;"Школа № 1273";"Школа № 1273";220
55.641565;37.3716186;"Школа № 1596";"Школа № 1596";221
55.7144082;37.6256481;"Школа № 1257";"Школа № 1257";222
55.8002819;37.4570649;"Школа № 1210";"Школа № 1210";223
55.657362;37.511984;"Школа № 46";"Школа № 46";224
55.6125343;37.544432;"Школа № 1694 Ясенево";"Школа № 1694 Ясенево";225
55.8682509;37.4685805;"Школа № 158";"Школа № 158";226
55.8824265;37.4923772;"Школа № 1125 имени Я.Н. Федоренко";"Школа № 1125 имени Я.Н. Федоренко";227
55.8196351;37.8666551;"Школа № 664";"Школа № 664";228
55.7151006;37.6067307;"Киноколледж № 40 Московская международная киношкола";"Киноколледж № 40 Московская международная киношкола";229
55.7269035;37.8091703;"Специальная (коррекционная) общеобразовательная школа-интернат № 31";"Специальная (коррекционная) общеобразовательная школа-интернат № 31";230
55.839016;37.526016;"Специальное учебно-воспитательное учреждение № 1";"Специальное учебно-воспитательное учреждение № 1";231
